,project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,project_title,start_actual_isodate,end_actual_isodate,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,ad_purpose_codes,ad_purpose_names,status,transactions_start_year,transactions_end_year,project_total_commitments,total_disbursements,even_split_commitments,even_split_disbursements,recommended_for_research,umbrella,year,year_uncertain,crs_sector_code,crs_sector_name,flow,all_recipients,recipient_condensed,sources_count,funding_agency,cofinancing_agency,implementing_agency,recipient_agencies,recipient_agencies_count,flow_class,intent,amount,currency,deflators_used,exchange_rates_used,usd_defl_2014,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,location_details,contacts,source_triangulation,field_completeness,round_coded,geometry,index_right,GDLCODE,iso_code,country,region,layer,path,Continent
0,1,1_2377450,1,2377450,Nouakchott,18.085810000000002,-15.9785,PPLC,capital of a political entity,6295630|6255146|MR|NKC|2377450,Earth|Africa|Mauritania|District de Nouakchott|Nouakchott,2,1,29th medical team to Mauritania to assist local doctors,,,CHN,Mauritania,MRT,120,Health,,,Completion,2010,2010,,,,,True,False,2010,False,120,Health,Free-standing technical assistance,Mauritania,Mauritania,3,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,,,,1,435,256,Mauritania,MRT,MR,478,682,False,False,False,,,,,,,"Zhang Xun, ; Cheikh Ould Horma, ",3,6,ChinatoAfrica,POINT (-15.9785 18.08581),835.0,MRTr106,MRT,Mauritania,Trarza incl Nouakchott,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
1,1,1_2376719,1,2376719,Sélibaby,15.15846,-12.1843,PPLA,seat of a first-order administrative division,6295630|6255146|MR|10|2376719,Earth|Africa|Mauritania|Guidimaka|Sélibaby,2,1,29th medical team to Mauritania to assist local doctors,,,CHN,Mauritania,MRT,120,Health,,,Completion,2010,2010,,,,,True,False,2010,False,120,Health,Free-standing technical assistance,Mauritania,Mauritania,3,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,,,,1,435,256,Mauritania,MRT,MR,478,682,False,False,False,,,,,,,"Zhang Xun, ; Cheikh Ould Horma, ",3,6,ChinatoAfrica,POINT (-12.1843 15.15846),839.0,MRTr110,MRT,Mauritania,Guidimagha,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
2,1,1_2378538,1,2378538,Kiffa,16.61659,-11.404530000000001,PPLA,seat of a first-order administrative division,6295630|6255146|MR|03|2378538,Earth|Africa|Mauritania|Assaba|Kiffa,2,1,29th medical team to Mauritania to assist local doctors,,,CHN,Mauritania,MRT,120,Health,,,Completion,2010,2010,,,,,True,False,2010,False,120,Health,Free-standing technical assistance,Mauritania,Mauritania,3,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,,,,1,435,256,Mauritania,MRT,MR,478,682,False,False,False,,,,,,,"Zhang Xun, ; Cheikh Ould Horma, ",3,6,ChinatoAfrica,POINT (-11.40453 16.61659),832.0,MRTr103,MRT,Mauritania,Assaba,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
3,3,3_2377450,1,2377450,Nouakchott,18.085810000000002,-15.9785,PPLC,capital of a political entity,6295630|6255146|MR|NKC|2377450,Earth|Africa|Mauritania|District de Nouakchott|Nouakchott,2,1,China issues 2 billion yuan loan to fund Port of Friendship expansion project in Mauritania,2009-09-25,,CHN,Mauritania,MRT,210,Transport and Storage,,,Implementation,2008,2008,396886331.0,,396886331.0,,True,False,2008,False,210,Transport and Storage,Loan (excluding debt rescheduling),Mauritania,Mauritania,6,"Export-Import Bank of China, Government Agency",,"China Communications Construction Company (CCCC), State-Owned Company",,,ODA-like,Development,2000000000.0,CNY,0.725208865,6.9486550000000005,396886331.0,287825486.0,2009-09-25,,,2012-09-01,1,435,256,Mauritania,MRT,MR,478,682,False,False,False,Concessional,2.0,20.0,5.0,54.08,Nouakchott,"Zhai Jun, ; Zhang Xun, ; Mohamed Ould Abdel Aziz, ; Sidi Ould Tah, ",8,8,ChinatoAfrica,POINT (-15.9785 18.08581),835.0,MRTr106,MRT,Mauritania,Trarza incl Nouakchott,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
4,6,6_3351640,4,3351640,Província do Bié,-12.34989,17.3031,ADM1,first-order administrative division,6295630|6255146|AO|02,Earth|Africa|Angola|Província do Bié,1,1,"China grants $600,000 USD in food aid for flood victims",2001-05-17,2001-05-17,CHN,Angola,AGO,700,Emergency Response,,,Completion,2001,2001,1364094.0,,1364094.0,,True,False,2001,False,700,Emergency Response,Grant,Angola,Angola,1,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,600000.0,USD,0.439852277,1.0,1364094.0,600000.0,2001-05-17,,2001-05-17,,1,540,225,Angola,AGO,AO,24,614,False,False,False,,,,,,Bie Province,"Albino Malungo, ",0,7,ChinatoAfrica,POINT (17.3031 -12.34989),1481.0,AGOr211,AGO,Angola,Bie,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
5,13,13_2240449,1,2240449,Luanda,-8.83682,13.23432,PPLC,capital of a political entity,6295630|6255146|AO|20|2240449,Earth|Africa|Angola|Luanda Province|Luanda,2,1,Computers and Sewing Machines,,,CHN,Angola,AGO,150,Government and Civil Society,,,Completion,2001,2001,,,,,True,False,2001,False,150,Government and Civil Society,Grant,Angola,Angola,1,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,,,,1,540,225,Angola,AGO,AO,24,614,False,False,False,,,,,,,"Jiang Yuande, ",0,6,ChinatoAfrica,POINT (13.23432 -8.836819999999999),1489.0,AGOr204,AGO,Angola,Luanda,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
6,20,20_2475741,4,2475741,Tizi Ouzou,36.75,4.25,ADM1,first-order administrative division,6295630|6255146|DZ|14,Earth|Africa|Algeria|Tizi Ouzou,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,True,False,2003,False,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2.0,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,False,True,False,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded,POINT (4.25 36.75),317.0,DZAr101,DZA,Algeria,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Beja?a, Chlef, Ain Defla)",GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
7,20,20_2502951,4,2502951,Bouira,36.25,3.91667,ADM1,first-order administrative division,6295630|6255146|DZ|21,Earth|Africa|Algeria|Bouira,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,True,False,2003,False,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2.0,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,False,True,False,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded,POINT (3.91667 36.25),317.0,DZAr101,DZA,Algeria,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Beja?a, Chlef, Ain Defla)",GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
8,20,20_2505325,4,2505325,Béjaïa,36.66667,4.91667,ADM1,first-order administrative division,6295630|6255146|DZ|18,Earth|Africa|Algeria|Béjaïa,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,True,False,2003,False,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2.0,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,False,True,False,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded,POINT (4.91667 36.66667),321.0,DZAr105,DZA,Algeria,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
9,21,21_8308627,1,8308627,Jwaneng,-24.60166,24.7281,PPL,populated place,6295630|6255146|BW|10|8308627,Earth|Africa|Botswana|Southern District|Jwaneng,2,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (24.7281 -24.60166),145.0,BWAr107,BWA,Botswana,"North-West, Ngamiland",GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
10,21,21_933521,1,933521,Lobatse,-25.22435,25.67728,PPL,populated place,6295630|6255146|BW|09|933521,Earth|Africa|Botswana|South East District|Lobatse,2,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (25.67728 -25.22435),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
11,21,21_933773,1,933773,Gaborone,-24.654510000000002,25.90859,PPLC,capital of a political entity,6295630|6255146|BW|09|933773,Earth|Africa|Botswana|South East District|Gaborone,2,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (25.90859 -24.65451),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
12,21,21_933366,1,933366,Maun,-19.98333,23.41667,PPLA,seat of a first-order administrative division,6295630|6255146|BW|11|933366,Earth|Africa|Botswana|North West District|Maun,2,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (23.41667 -19.98333),143.0,BWAr105,BWA,Botswana,Kweneng,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
13,21,21_933778,1,933778,Francistown,-21.16995,27.50788,PPLA,seat of a first-order administrative division,6295630|6255146|BW|08|933778,Earth|Africa|Botswana|North East District|Francistown,2,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (27.50788 -21.16995),142.0,BWAr104,BWA,Botswana,Kgatleng,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
14,21,21_7670702,3,7670702,Gaborone,-24.76234,25.7995,ADM2,second-order administrative division,6295630|6255146|BW|09|7670702,Earth|Africa|Botswana|South East District|Gaborone,1,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (25.7995 -24.76234),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
15,21,21_7670710,3,7670710,Palapye,-22.519579999999998,27.472540000000002,ADM2,second-order administrative division,6295630|6255146|BW|01|7670710,Earth|Africa|Botswana|Central District|Palapye,1,1,China loans 117 million BWP for medium and low cost houses,,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2004,2004,51378371.0,,7339767.28571429,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,6,"Unspecified Chinese Government Institution, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company; Botswana Housing Corporation, State-Owned Company","Botswana Housing Corporation, State-Owned Company",1.0,ODA-like,Development,117000000.0,BWP,0.48524983299999996,4.69288739,51378371.0,24931346.0,,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,4.0,15.0,4.0,34.99,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone","Difu Lin, ; Baledzi Gaolatlhe, ",6,8,ChinatoAfrica,POINT (27.47254 -22.51958),139.0,BWAr101,BWA,Botswana,Central,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
16,23,23_8308627,1,8308627,Jwaneng,-24.60166,24.7281,PPL,populated place,6295630|6255146|BW|10|8308627,Earth|Africa|Botswana|Southern District|Jwaneng,2,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (24.7281 -24.60166),145.0,BWAr107,BWA,Botswana,"North-West, Ngamiland",GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
17,23,23_933521,1,933521,Lobatse,-25.22435,25.67728,PPL,populated place,6295630|6255146|BW|09|933521,Earth|Africa|Botswana|South East District|Lobatse,2,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (25.67728 -25.22435),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
18,23,23_933773,1,933773,Gaborone,-24.654510000000002,25.90859,PPLC,capital of a political entity,6295630|6255146|BW|09|933773,Earth|Africa|Botswana|South East District|Gaborone,2,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (25.90859 -24.65451),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
19,23,23_933366,1,933366,Maun,-19.98333,23.41667,PPLA,seat of a first-order administrative division,6295630|6255146|BW|11|933366,Earth|Africa|Botswana|North West District|Maun,2,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (23.41667 -19.98333),143.0,BWAr105,BWA,Botswana,Kweneng,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
20,23,23_933778,1,933778,Francistown,-21.16995,27.50788,PPLA,seat of a first-order administrative division,6295630|6255146|BW|08|933778,Earth|Africa|Botswana|North East District|Francistown,2,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (27.50788 -21.16995),142.0,BWAr104,BWA,Botswana,Kgatleng,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
21,23,23_7670702,3,7670702,Gaborone,-24.76234,25.7995,ADM2,second-order administrative division,6295630|6255146|BW|09|7670702,Earth|Africa|Botswana|South East District|Gaborone,1,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (25.7995 -24.76234),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
22,23,23_1106235,1,1106235,Madirelo,-24.67083,25.90444,INDS,industrial area,6295630|6255146|BW|09|1106235,Earth|Africa|Botswana|South East District|Madirelo,3,1,China Finances Multi-Purpose Youth Centre,2009-10-08,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Completion,2004,2004,19577544.0,,2796792.0,,True,False,2004,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,7,"Unspecified Chinese Government Institution, Government Agency",,"Zhongding International Engineering Co., Ltd. (ZIEC)",,,Vague (Official Finance),Development,9500000.0,USD,0.48524983299999996,1.0,19577544.0,9500000.0,2009-10-08,,,2011-07-01,1,571,227,Botswana,BWA,BW,72,616,False,False,False,,,,,,Gaborone,"Difu Lin, ; Shaw Kgathi, ",7,8,ChinatoAfrica,POINT (25.90444 -24.67083),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
23,31,31_933773,1,933773,Gaborone,-24.654510000000002,25.90859,PPLC,capital of a political entity,6295630|6255146|BW|09|933773,Earth|Africa|Botswana|South East District|Gaborone,2,1,Eximbank loan for housing project,2006-01-26,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2006,2006,17333397.0,,5777799.0,,True,False,2006,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,3,"Export-Import Bank of China, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company",,,ODA-like,Development,55000000.0,BWP,0.543652291,5.836571192999999,17333397.0,9423341.0,2006-01-26,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,3.0,10.0,,25.17,Gaborone,,4,8,ChinatoAfrica,POINT (25.90859 -24.65451),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
24,31,31_7670702,3,7670702,Gaborone,-24.76234,25.7995,ADM2,second-order administrative division,6295630|6255146|BW|09|7670702,Earth|Africa|Botswana|South East District|Gaborone,1,1,Eximbank loan for housing project,2006-01-26,,CHN,Botswana,BWA,160,Other Social infrastructure and services,,,Implementation,2006,2006,17333397.0,,5777799.0,,True,False,2006,False,160,Other Social infrastructure and services,Loan (excluding debt rescheduling),Botswana,Botswana,3,"Export-Import Bank of China, Government Agency",,"China National Overseas Engineering Corporation (COVEC), State-Owned Company",,,ODA-like,Development,55000000.0,BWP,0.543652291,5.836571192999999,17333397.0,9423341.0,2006-01-26,,,,1,571,227,Botswana,BWA,BW,72,616,False,False,False,Concessional,3.0,10.0,,25.17,Gaborone,,4,8,ChinatoAfrica,POINT (25.7995 -24.76234),144.0,BWAr106,BWA,Botswana,North-East,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
25,32,32_2394819,1,2394819,Cotonou,6.36536,2.41833,PPLG,seat of government of a political entity,6295630|6255146|BJ|14|2394819,Earth|Africa|Benin|Littoral|Cotonou,2,1,China trains 92 people from Benin,,,CHN,Benin,BEN,110,Education,,,Completion,2005,2005,,,,,True,False,2005,False,110,Education,Scholarships/training in the donor country,Benin,Benin,1,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,2005-01-01,,2006-04-03,1,434,236,Benin,BEN,BJ,204,638,False,False,False,,,,,,,,0,6,ChinatoAfrica,POINT (2.41833 6.36536),57.0,BENr102,BEN,Benin,Atlantique (incl Littoral (Cotonou)),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AF
